file_path,file_hash,object_id,container_group_id,frequency,file_size_bytes,file_size_mb
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000031.jpg,256733e53fc2af0d79c495d7cd5a3dc2,1,0,1,106907,0.1
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000030.jpg,c3f8391a1c7bc4902cd4a7e4e60808cb,2,1,1,95104,0.09
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000026.jpg,b428a75ec58f889042a0ebe219b32106,3,2,1,71095,0.07
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000022.jpg,87abd5582b3511fb75465d416201097e,4,3,1,99509,0.09
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000036.jpg,5d69355789c10134fe253439b3cb29fb,5,4,1,100829,0.1
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000035.jpg,6417bfec6c432c2bb1e43da755a77c7c,6,5,1,92790,0.09
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000046.jpg,1d78df38205e55e7c5a408cfdc0e5b93,7,6,1,84152,0.08
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000054.jpg,116a0edd0a24f88e94c006e514b4d583,8,7,1,84400,0.08
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000040.jpg,5074c901f4c0c905e5f703c7e3863ffb,9,8,1,71864,0.07
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000043.jpg,e1a4b0cac4dde6e8fe283b8912c93ad2,10,9,1,141868,0.14
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000056.jpg,e4954c2189e1aa964345fad7c45b87a1,11,10,1,92552,0.09
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000049.jpg,28d5f2155bb273be1cd7cdb2a565896d,12,11,1,119985,0.11
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000004.jpg,0c7c45588021e373ea6ece777f1ced47,13,12,1,49383,0.05
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000013.jpg,6b7764f0e567814cfbc9fe461e1df2fa,14,13,1,34917,0.03
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000002.jpg,6cbc699279bcdee56513eb84fc367986,15,14,1,57856,0.06
/Users/soneyeoluwasina/Downloads/Skin/Test/melanoma/ISIC_0000029.jpg,eeb85ed4e121b2ec8d7e36de4042243b,16,15,1,106021,0.1
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024420.jpg,a6015d9761558bb1486f16bd7ed18ca7,17,16,1,311446,0.3
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024408.jpg,97f3d241f3053230d67c9a81205b496c,18,17,1,295201,0.28
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024409.jpg,0658018fd5a0dac068c83b0158d82de0,19,18,1,266509,0.25
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024422.jpg,942aa6f152e4a4f669082610f19a816c,20,19,1,186152,0.18
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024383.jpg,3c9fe0d120a313570b83427063174c95,21,0,1,316252,0.3
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024426.jpg,8bff3e47f96ab8f4ec15ebd911ad4bc8,22,1,1,290653,0.28
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024382.jpg,117d306e033d16e25288396910a0c4ff,23,2,1,307542,0.29
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024381.jpg,1c583a7f607583dee3f3dc0ccd81487c,24,3,1,259872,0.25
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024324.jpg,5649d1aacf3cada92c5f57cc49bf80e7,25,4,1,238733,0.23
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024337.jpg,d6bfce109527bb179d6ca13eac53c08c,26,5,1,308890,0.29
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024336.jpg,8da3cf5477060b9d38235d4e08857388,27,6,1,259768,0.25
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024338.jpg,d85a94063c1aa6be02004bbde51879ff,28,7,1,210676,0.2
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024312.jpg,336ff4db6eb4e9c1c55c02f4018192b7,29,8,1,257789,0.25
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024358.jpg,b68a1fcc5c9c20d0fe23244183d67d63,30,9,1,239486,0.23
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024371.jpg,1e402c4680ceac6946a67be285e4350e,31,10,1,229967,0.22
/Users/soneyeoluwasina/Downloads/Skin/Test/pigmented benign keratosis/ISIC_0024412.jpg,41eb124ebdbbc029feca584d2289c8b4,32,11,1,244277,0.23
/Users/soneyeoluwasina/Downloads/Skin/Test/nevus/ISIC_0000018.jpg,9d3e78a1c12f38c8ab62e7faa5f0b70f,33,12,1,79530,0.08
/Users/soneyeoluwasina/Downloads/Skin/Test/nevus/ISIC_0000008.jpg,f8570e8beb69060632aa0e539749207e,34,13,1,43006,0.04
/Users/soneyeoluwasina/Downloads/Skin/Test/nevus/ISIC_0000009.jpg,03b99f521299005e1bc14cc7559160b8,35,14,1,48821,0.05
/Users/soneyeoluwasina/Downloads/Skin/Test/nevus/ISIC_0000010.jpg,571dfe40a6a7b62027629dad61756102,36,15,1,42872,0.04
/Users/soneyeoluwasina/Downloads/Skin/Test/nevus/ISIC_0000011.jpg,b193fb43f0d706e09a3f2111e0d0055a,37,16,1,41776,0.04
